case_study,problem_class,source,n_rep_periods,clustering_type,weight_type,normalization,n_seeds,regret_mean_pct,regret_sd_pct,mismatch_mean_pct,time_mean_s,time_sd_s,is_deterministic,pareto_frontier,reasonable_in_group
gep,investment,tyndp,40,convex_hull_with_null,dirac,unscaled,5,2.1750462139735083,0.0,1.4302586848334182,14.4026239836,0.4,true,true,true
gep,investment,tyndp,40,convex_hull_with_null,convex,unscaled,5,2.968523037023596,0.0,10.416869861190383,31.735641233599996,0.4,true,true,true
gep,investment,tyndp,40,convex_hull_with_null,conical,unscaled,5,3.1623606089113077,0.0,11.055896509861931,29.058544649999998,0.3,true,true,true
gep,investment,tyndp,40,convex_hull_with_null,conical_bounded,unscaled,5,3.036415771114487,0.0,8.702862277156223,28.1692718588,0.4,true,true,true
gep,investment,tyndp,40,conical_hull,dirac,unscaled,5,8.55538311547932,0.0,2.1103078857827193,13.019197649600002,0.2,true,false,false
gep,investment,tyndp,40,conical_hull,convex,unscaled,5,11.39639503126897,0.0,3.3650127347544427,29.181643008600002,0.6,true,false,false
gep,investment,tyndp,40,conical_hull,conical,unscaled,5,11.884201179828047,0.0,6.422433379176399,23.9630629418,0.2,true,false,false
gep,investment,tyndp,40,conical_hull,conical_bounded,unscaled,5,10.477647882339959,0.0,4.088932944127114,28.6774774746,0.4,true,false,false
gep,investment,tyndp,80,k_means,dirac,unscaled,5,30.65665363012971,13.2,33.72987143815114,33.9260028746,5.0,false,false,false
gep,investment,tyndp,80,k_means,convex,unscaled,5,25.585381029477478,11.2,29.249950724927544,109.50087967459999,11.3,false,false,false
gep,investment,tyndp,80,k_means,conical,unscaled,5,24.59788492100732,11.2,28.10801854319132,118.03339720780002,17.0,false,false,false
gep,investment,tyndp,80,k_means,conical_bounded,unscaled,5,25.790796444704256,11.4,29.605684088739288,116.10511322519999,7.7,false,false,false
