case_study,clustering_type,weight_type,n_rep_periods,total_spillage,total_borrow,max_weight_sum,eval_cost_of_operations,eval_cost_of_borrow
5bus,conical_hull,convex,20,187674.93177065745,0.0,1.0000000000000002,15511.668419738877,0.0
5bus,conical_hull,convex,40,189246.0553534482,0.0,1.0000000000000002,15324.53208946667,0.0
5bus,conical_hull,convex,80,186618.57576107688,0.0,1.0000000000000004,15366.895657262463,0.0
5bus,conical_hull,conical_bounded,10,190897.46742118686,0.0,1.0,20447.413268989392,0.0
5bus,conical_hull,conical_bounded,20,187483.07666335403,0.0,1.0000000000000002,15521.714346087154,0.0
5bus,conical_hull,conical_bounded,40,189272.91699861406,0.0,1.0000000000000002,15342.606486666922,0.0
5bus,conical_hull,conical_bounded,80,186150.64710990342,0.0,1.0000000000000002,15390.151932056086,0.0
5bus,conical_hull,conical,10,233989.72566728372,0.0,3.853930341379184,19004.749534635564,0.0
5bus,conical_hull,conical,20,216406.8221966125,0.0,3.4161488040284724,13612.172402465465,0.0
5bus,conical_hull,conical,40,215819.360803123,0.0,3.072590539307657,13612.52504933791,0.0
5bus,conical_hull,conical,80,211877.34029816795,0.0,2.703310869854445,13634.025099255497,0.0
p2x,conical_hull,convex,10,4.979902562313035e7,1931.4932802188036,1.0000000000000002,2.732878405015292e7,19314.93280218805
p2x,conical_hull,convex,20,4.839354120182167e7,2402.5759999423763,1.0000000000000002,2.7032266333748408e7,24025.75999942376
p2x,conical_hull,convex,40,4.3141319112382345e7,1203.871999921946,1.0000000000000002,2.6737728362066146e7,12038.719999219447
p2x,conical_hull,convex,80,5.864998023068942e7,1543.2800000057546,1.0000000000000004,2.6835285702277556e7,15432.800000057547
p2x,k_means,dirac,10,4.9143907148638524e7,52672.46937492692,1.0,2.750070969852214e7,526724.6937492692
p2x,k_means,dirac,20,4.1121069466181666e7,71673.65948936838,1.0,2.7334116974926393e7,716736.5948936837
p2x,k_means,dirac,40,4.290214252832337e7,22721.641523289596,1.0,2.7128562213634364e7,227216.4152328957
p2x,k_means,dirac,80,6.405378216841991e7,10466.63530234028,1.0,2.723153104686929e7,104666.35302340283
p2x,k_medoids,dirac,10,4.478737854218003e7,62671.5551169291,1.0,2.7704867661534242e7,626715.5511692913
p2x,k_medoids,dirac,20,4.058250873427793e7,77147.68979592997,1.0,2.7495606547182143e7,771476.8979592995
p2x,k_medoids,dirac,40,5.206700935494025e7,32192.878402229857,1.0,2.7444507002260316e7,321928.7840222985
p2x,k_medoids,dirac,80,5.962229178381252e7,29903.81026699969,1.0,2.7289760124871455e7,299038.1026699967
118bus,conical_hull,convex,10,0.0,0.0,1.0000000000000002,2.455490828220512e6,0.0
118bus,conical_hull,convex,20,0.0,0.0,1.0000000000000002,2.4588543840908753e6,0.0
118bus,conical_hull,convex,40,0.0,0.0,1.0000000000000002,2.4541318302637096e6,0.0
118bus,conical_hull,convex,80,0.0,0.0,1.0000000000000002,2.449036332389628e6,0.0
118bus,k_means,dirac,10,0.0,0.0,1.0,2.4601297960795886e6,0.0
118bus,k_means,dirac,20,0.0,0.0,1.0,2.456831957147154e6,0.0
118bus,k_means,dirac,40,0.0,0.0,1.0,2.454535977564073e6,0.0
118bus,k_means,dirac,80,0.0,0.0,1.0,2.4502467304015355e6,0.0
118bus,k_medoids,dirac,10,0.0,0.0,1.0,2.4746262936635623e6,0.0
118bus,k_medoids,dirac,20,0.0,0.0,1.0,2.4661909742446244e6,0.0
118bus,k_medoids,dirac,40,0.0,0.0,1.0,2.4623013970364705e6,0.0
118bus,k_medoids,dirac,80,0.0,0.0,1.0,2.458070662266484e6,0.0
